duration_hours,external_count,replications,mean_response_min_mean,mean_response_min_ci95_low,mean_response_min_ci95_high,cumulative_response_gain_min_mean,cumulative_response_gain_min_ci95_low,cumulative_response_gain_min_ci95_high,marginal_response_gain_min_mean,marginal_response_gain_min_ci95_low,marginal_response_gain_min_ci95_high,total_delay_penalty_yuan_mean,total_delay_penalty_yuan_ci95_low,total_delay_penalty_yuan_ci95_high,avoided_penalty_yuan_mean,avoided_penalty_yuan_ci95_low,avoided_penalty_yuan_ci95_high,avoided_penalty_per_vehicle_yuan_mean,avoided_penalty_per_vehicle_yuan_ci95_low,avoided_penalty_per_vehicle_yuan_ci95_high,marginal_break_even_cost_yuan_mean,marginal_break_even_cost_yuan_ci95_low,marginal_break_even_cost_yuan_ci95_high,external_dispatches_mean,external_dispatches_ci95_low,external_dispatches_ci95_high,incident_zone_scenarios
4.0,1,10,7.451799989455617,5.743582832728542,9.160017146182692,2.4411707247799255,0.5720777505435366,4.310263699016314,2.4411707247799255,0.5720777505435366,4.310263699016314,35796.86059764571,13165.296642580459,58428.42455271096,24594.953253477583,264.9741106423862,48924.93239631278,24594.953253477583,264.9741106423862,48924.93239631278,24594.953253477583,264.9741106423862,48924.93239631278,4.6899999999999995,4.32766233117557,5.052337668824429,10
4.0,2,10,6.21309535542767,5.223420659123146,7.202770051732195,3.679875358807871,1.0943172461095436,6.265433471506198,1.2387046340279457,0.5095748965259672,1.9678343715299242,23862.69518337355,10930.95366261315,36794.43670413395,36529.118667749746,2492.0683363560747,70566.16899914341,18264.559333874873,1246.0341681780374,35283.084499571705,11934.165414272164,2165.4010610489113,21702.929767495414,8.739999999999998,8.200233309973271,9.279766690026726,10
4.0,3,10,5.499230294010259,4.936567257348358,6.061893330672159,4.393740420225283,1.3813077592871843,7.406173081163383,0.7138650614174115,0.2766932431520103,1.1510368796828125,17141.2446610047,9751.610395135316,24530.878926874087,43250.56919011859,3695.6825393569598,82805.45584088023,14416.856396706196,1231.894179785655,27601.81861362674,6721.450522368849,1134.2815562168325,12308.619488520866,12.129999999999999,11.463996274761977,12.796003725238021,10
4.0,4,10,5.091969902080607,4.742116073985882,5.441823730175333,4.801000812154935,1.5684668146239122,8.033534809685957,0.4072603919296526,0.17499711178943642,0.6395236720698687,13351.675174916643,8857.63627375165,17845.714076081636,47040.138676206654,4511.574324070418,89568.70302834289,11760.034669051664,1127.8935810176044,22392.175757085723,3789.569486088059,765.9476238835591,6813.191348292559,14.73,13.873527925916118,15.586472074083883,10
4.0,5,10,4.850940592657772,4.602275558147081,5.099605627168463,5.04203012157777,1.6926639278199915,8.391396315335548,0.2410293094228348,0.12061092580705768,0.3614476930386119,11080.119601317889,8112.768079068203,14047.471123567575,49311.694249805405,5163.067613193343,93460.32088641747,9862.33884996108,1032.6135226386687,18692.06417728349,2271.5555735987514,632.5326264884131,3910.5785207090894,16.96,15.825808951128588,18.094191048871416,10
4.0,6,10,4.713728143278082,4.522412439310779,4.905043847245386,5.17924257095746,1.7802875460088186,8.578197595906103,0.13721244937969013,0.07339549947437998,0.20102939928500027,9833.04748260056,7556.70731228462,12109.387652916499,50558.76636852273,5780.008924973918,95337.52381207154,8426.461061420456,963.3348208289881,15889.587302011923,1247.0721187173317,529.4813346027217,1964.6629028319417,18.509999999999998,17.2020070698731,19.817992930126895,10
5.0,0,10,12.34185796974294,6.8252372039671325,17.858478735518744,0.0,0.0,0.0,,,,106269.60661670566,21976.174639876146,190563.03859353517,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,10
5.0,1,10,8.009899512937393,5.425379427097138,10.594419598777648,4.3319584568055465,1.3726197432826037,7.291297170328489,4.3319584568055465,1.3726197432826037,7.291297170328489,52188.92678118546,11910.37262942412,92467.4809329468,54080.679835520205,9838.974962505083,98322.38470853533,54080.679835520205,9838.974962505083,98322.38470853533,54080.679835520205,9838.974962505083,98322.38470853533,5.88,5.389228318487802,6.370771681512198,10
5.0,2,10,6.349956404146676,5.130640924249883,7.569271884043468,5.991901565596265,1.6666638223085046,10.317139308884027,1.6599431087907182,0.2802999047653474,3.039586312816089,31282.713241338985,12291.228268747756,50274.19821393021,74986.89337536668,9483.314013041876,140490.47273769148,37493.44668768334,4741.657006520938,70245.23636884574,20906.213539846474,-485.65975767448253,42298.08683736743,10.73,10.050473692830996,11.409526307169005,10
5.0,3,10,5.577366060947805,4.903951080196731,6.250781041698878,6.764491908795135,1.882961075754178,11.646022741836092,0.7725903431988699,0.21074569344172422,1.3344349929560155,22064.973612818947,11575.008685875755,32554.938539762137,84204.63300388673,10130.861032816087,158278.40497495738,28068.211001295578,3376.9536776053646,52759.46832498579,9217.739628520038,587.5211128981191,17847.958144141958,14.86,13.951249548714221,15.768750451285777,10
5.0,4,10,5.1179991237014875,4.720187976960897,5.515810270442078,7.223858846041454,2.0623867863213663,12.385330905761542,0.4593669372463184,0.1704804128892098,0.748253461603427,16765.832042787264,10522.194118980495,23009.469966594035,89503.77457391842,11084.140331415663,167923.40881642117,22375.943643479604,2771.035082853916,41980.85220410529,5299.141570031683,896.674142105855,9701.608997957512,18.259999999999998,17.146552854835935,19.37344714516406,10
5.0,5,10,4.858512252224348,4.5872271060697525,5.129797398378944,7.483345717518593,2.1685910527857564,12.79810038225143,0.2594868714771391,0.10324554387006488,0.4157281990842133,13774.117637623916,9687.934032325209,17860.301242922626,92495.48897908175,11685.402072814162,173305.57588534936,18499.09779581635,2337.080414562828,34661.11517706987,2991.7144051633463,586.4269835369037,5397.0018267897885,20.98,19.484464876787573,22.475535123212428,10
5.0,6,10,4.725203628159126,4.5271690410378245,4.923238215280428,7.616654341583813,2.22242798453769,13.010880698629936,0.13330862406522143,0.043098499513538405,0.22351874861690446,12208.342771710055,9304.42472207125,15112.26082134886,94061.26384499561,12025.937261588202,176096.59042840303,15676.877307499273,2004.32287693137,29349.43173806718,1565.7748659138633,263.5171480655372,2868.0325837621895,22.97,21.122941019088323,24.817058980911675,10
6.0,0,10,16.96871384960979,10.83046876744725,23.106958931772333,0.0,0.0,0.0,,,,186776.9639664532,80246.80817795028,293307.1197549561,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,10
6.0,1,10,9.111948648785484,5.864627074994755,12.359270222576214,7.856765200824308,4.8528674300115915,10.860662971637023,7.856765200824308,4.8528674300115915,10.860662971637023,76717.06616304143,19850.4036582619,133583.72866782095,110059.89780341178,59180.84795095767,160938.94765586586,110059.89780341178,59180.84795095767,160938.94765586586,110059.89780341178,59180.84795095767,160938.94765586586,7.2299999999999995,6.70643562853828,7.753564371461719,10
6.0,2,10,6.533766251317644,5.0259164939093335,8.041616008725955,10.434947598292148,5.724869415560153,15.145025781024142,2.578182397467839,0.807501674000312,4.348863120935366,39476.170511710814,12946.364248206435,66005.9767752152,147300.7934547424,66508.04100844805,228093.54590103676,73650.3967273712,33254.02050422403,114046.77295051838,37240.89565133063,6586.211192355044,67895.58011030623,12.7,11.880889443464227,13.519110556535772,10
6.0,3,10,5.546632233993938,4.839738810156183,6.253525657831693,11.422081615615854,5.9427221678016044,16.901441063430102,0.9871340173237073,0.17057445937887905,1.8036935752685355,25202.8174662374,12806.361047922766,37599.273884552036,161574.1465002158,67042.35978102894,256105.93321940268,53858.04883340527,22347.453260342983,85368.64440646756,14273.35304547341,-14.187940312544015,28560.894031259362,17.5,16.49114666288533,18.50885333711467,10
6.0,4,10,5.07360738272569,4.68239595476389,5.464818810687491,11.8951064668841,6.088021724598463,17.702191209169737,0.4730248512682465,0.13501357468788233,0.8110361278486107,18731.522830194495,12017.60524546413,25445.44041492486,168045.4411362587,67737.78085760001,268353.1014149174,42011.36028406468,16934.445214400002,67088.27535372935,6471.2946360429,547.5795608524904,12395.00971123331,21.280000000000005,20.000419533072485,22.559580466927525,10
6.0,5,10,4.848995018900192,4.5709955935190685,5.126994444281316,12.119718830709601,6.189480098111527,18.049957563307675,0.22461236382550015,0.09657491723004061,0.35264981042095966,15804.575442985875,11133.457223217622,20475.69366275413,170972.38852346732,68558.1448308796,273386.63221605506,34194.47770469347,13711.628966175922,54677.326443211015,2926.9473872086196,784.2126855564939,5069.682088860745,24.240000000000002,22.611805495916876,25.868194504083128,10
6.0,6,10,4.717612378734083,4.510328061508446,4.9248966959597205,12.251101470875708,6.230031342084238,18.27217159966718,0.13138264016610804,0.030064652045532297,0.23270062828668378,14036.150010243795,10736.155086443334,17336.144934044256,172740.8139562094,68784.42014176496,276697.2077706538,28790.135659368232,11464.070023627493,46116.20129510897,1768.4254327420833,125.45872793304875,3411.392137551118,26.68,24.526312325692004,28.833687674307996,10
8.0,0,10,28.603053561486995,20.916948122967415,36.28915900000658,0.0,0.0,0.0,,,,432994.592722257,258529.9254254949,607459.2600190191,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,10
8.0,1,10,14.179462885843634,9.355669559616757,19.00325621207051,14.423590675643359,11.45343980938543,17.39374154190129,14.423590675643359,11.45343980938543,17.39374154190129,189554.1038495958,80592.50406791965,298515.70363127196,243440.48887266126,176961.73710782698,309919.24063749553,243440.48887266126,176961.73710782698,309919.24063749553,243440.48887266126,176961.73710782698,309919.24063749553,9.73,9.215196997860158,10.244803002139843,10
