incident_zone,duration_hours,external_count,replications,mean_response_min_mean,mean_response_min_ci95_low,mean_response_min_ci95_high,cumulative_response_gain_min_mean,cumulative_response_gain_min_ci95_low,cumulative_response_gain_min_ci95_high,marginal_response_gain_min_mean,marginal_response_gain_min_ci95_low,marginal_response_gain_min_ci95_high,total_delay_penalty_yuan_mean,total_delay_penalty_yuan_ci95_low,total_delay_penalty_yuan_ci95_high,avoided_penalty_yuan_mean,avoided_penalty_yuan_ci95_low,avoided_penalty_yuan_ci95_high,avoided_penalty_per_vehicle_yuan_mean,avoided_penalty_per_vehicle_yuan_ci95_low,avoided_penalty_per_vehicle_yuan_ci95_high,marginal_break_even_cost_yuan_mean,marginal_break_even_cost_yuan_ci95_low,marginal_break_even_cost_yuan_ci95_high,external_dispatches_mean,external_dispatches_ci95_low,external_dispatches_ci95_high
1,8.0,0,10,79.84132592050703,64.00723531049897,95.6754165305151,0.0,0.0,0.0,,,,1478322.8520880728,1036227.5075538973,1920418.1966222483,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
1,8.0,1,10,44.54681044533326,31.51284244339365,57.58077844727286,35.29451547517376,31.684127519387793,38.90490343095973,35.29451547517376,31.684127519387793,38.90490343095973,804429.4524215014,463026.5559504551,1145832.3488925477,673893.3996665713,566289.6699478714,781497.1293852712,673893.3996665713,566289.6699478714,781497.1293852712,673893.3996665713,566289.6699478714,781497.1293852712,13.0,12.662777520546344,13.337222479453656
1,8.0,2,10,19.96141898598081,10.288636978647084,29.634200993314536,59.87990693452622,52.54683772566408,67.21297614338836,24.58539145935244,20.58165158732826,28.58913133137662,332017.35347896314,92881.13434826289,571153.5726096634,1146305.4986091093,932037.4892292236,1360573.507988995,573152.7493045547,466018.7446146118,680286.7539944975,472412.0989425384,362995.935908419,581828.2619766577,23.3,22.035977864467302,24.5640221355327
1,8.0,3,10,9.703963427968208,3.8239967476151344,15.583930108321283,70.13736249253881,58.94436640267701,81.3303585824006,10.257455558012603,5.837040047684076,14.67787106834113,129261.26724959491,-13353.424476643151,271875.95897583297,1349061.584838478,1033243.14987631,1664880.0198006458,449687.19494615926,344414.3832921033,554960.0066002152,202756.08622936817,96341.29618893084,309170.8762698055,29.8,27.468526596545424,32.13147340345458
1,8.0,4,10,6.346453323660599,4.186453878501354,8.506452768819845,73.49487259684642,59.40897634880494,87.5807688448879,3.3575101043076088,-0.41105441516882646,7.126074623784044,58981.310855950185,7107.389410467651,110855.23230143273,1419341.5412321226,1023814.2379152534,1814868.8445489919,354835.38530803064,255953.55947881335,453717.21113724797,70279.9563936447,-21083.182939923223,161643.0957272126,36.1,33.4138371994291,38.7861628005709
1,8.0,5,10,4.945900668480535,4.191366677296687,5.700434659664383,74.8954252520265,59.63724576825989,90.15360473579311,1.4005526551800636,-0.03058973176653379,2.831695042126661,30849.886011246366,13023.313381986045,48676.45864050669,1447472.9660768262,1021198.9219648493,1873747.010188803,289494.59321536525,204239.78439296986,374749.40203776065,28131.42484470382,-6204.967064035365,62467.816753443,42.4,40.26189246620179,44.538107533798204
1,8.0,6,10,4.501324146030997,4.0423301486878955,4.960318143374099,75.34000177447602,59.76313531440136,90.91686823455069,0.44457652244953777,0.07097346491727696,0.8181795799817986,22579.30161617608,12324.562021143909,32834.04121120825,1455743.5504718963,1021635.0014803121,1889852.0994634805,242623.9250786494,170272.5002467187,314975.3499105801,8270.584395070295,-180.19366181154146,16721.362451952133,48.0,45.71284586661762,50.28715413338238
1,10.0,0,10,80.73267428846792,63.768253844190596,97.69709473274524,0.0,0.0,0.0,,,,1799903.8189638678,1303232.176202801,2296575.4617249346,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
1,10.0,1,10,42.45774454590345,27.217357031399402,57.6981320604075,38.274929742564474,36.11163861412805,40.4382208710009,38.274929742564474,36.11163861412805,40.4382208710009,919272.1342114208,503777.21029757214,1334767.0581252694,880631.6847524468,793070.6371864666,968192.7323184271,880631.6847524468,793070.6371864666,968192.7323184271,880631.6847524468,793070.6371864666,968192.7323184271,13.0,12.662777520546344,13.337222479453656
1,10.0,2,10,16.3626226006293,4.881130342102173,27.844114859156427,64.37005168783863,56.71523384510434,72.0248695305729,26.09512194527415,20.299549718524666,31.890694172023636,313205.55795251095,8192.356214036816,618218.7596909851,1486698.2610113567,1254786.0734959757,1718610.4485267377,743349.1305056784,627393.0367479878,859305.2242633689,606066.57625891,455143.3237290246,756989.8287887954,24.2,23.747568567440357,24.65243143255964
1,10.0,3,10,8.118648201090469,3.0275381349464023,13.209758267234536,72.61402608737745,59.79839545218461,85.4296567225703,8.243974399538832,1.632332849487569,14.855615949590096,114543.18823271399,-20556.91376170327,249643.29022713125,1685360.6307311535,1304915.3209136205,2065805.9405486865,561786.8769103845,434971.77363787347,688601.9801828956,198662.36971979696,24136.9683178399,373187.771121754,33.5,32.53140217047879,34.46859782952121
1,10.0,4,10,5.359295250481131,4.310829063422734,6.407761437539529,75.37337903798678,59.38224812707745,91.36450994889611,2.759352950609336,-1.3383015247420467,6.8570074259607185,46370.19657118873,18693.145232146493,74047.24791023097,1753533.622392679,1283208.9719465263,2223858.272838832,438383.4055981698,320802.2429866316,555964.568209708,68172.99166152526,-40266.67013066448,176612.653453715,41.8,39.868683552267264,43.73131644773273
1,10.0,5,10,4.679948214155375,4.170411858197411,5.189484570113339,76.05272607431253,59.53014248218348,92.57530966644158,0.6793470363257568,0.11284506296684538,1.2458490096846682,30847.888770461555,17603.762379217093,44092.01516170602,1769055.9301934063,1284609.06118184,2253502.7992049726,353811.18603868125,256921.81223636802,450700.5598409945,15522.307800727174,649.6526581090675,30394.96294334528,49.1,46.37183054183421,51.828169458165796
1,10.0,6,10,4.286340733615159,4.054109283326102,4.518572183904216,76.44633355485276,59.56896207722171,93.3237050324838,0.39360748054021544,-0.020250593343999812,0.8074655544244307,22055.88019441751,16750.908909711485,27360.851479123536,1777847.9387694504,1284225.8044028468,2271470.073136054,296307.9897949084,214037.6340671411,378578.34552267566,8792.008576044045,-1535.3962519905654,19119.413404078656,54.5,51.65351465905196,57.34648534094804
1,11.0,0,10,85.27083092898064,65.8892682473965,104.65239361056479,0.0,0.0,0.0,,,,2133759.0959337233,1508472.6873706,2759045.5044968463,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0
1,11.0,1,10,46.59566369455483,29.497733500459248,63.69359388865041,38.67516723442582,35.89483816708315,41.45549630176849,38.67516723442582,35.89483816708315,41.45549630176849,1138511.8581947074,619847.8348735837,1657175.8815158312,995247.2377390156,879289.1603893214,1111205.3150887098,995247.2377390156,879289.1603893214,1111205.3150887098,995247.2377390156,879289.1603893214,1111205.3150887098,13.2,12.635718862784834,13.764281137215164
1,11.0,2,10,19.159602908093824,6.850233975566525,31.468971840621123,66.11122802088683,57.808124587216426,74.41433145455723,27.436060786461002,21.63215605933418,33.239965513587826,424413.8417762831,62449.21528003941,786378.4682725267,1709345.2541574396,1417342.66843402,2001347.8398808592,854672.6270787198,708671.33421701,1000673.9199404296,714098.0164184243,533961.123995746,894234.9088411026,24.7,23.74321478103839,25.65678521896161
